"Year","Area_type","Area_code","Area_description","Disability_indicator_code","Disability_indicator_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Census_usually_resident_population_count_aged_5_years_and_over","Disability_indicator_by_Maori_ethnic_group_indicator_summary_percent","Disability_indicator_percent"
2018,"Regional Council","99","Area Outside Region","0","Not disabled","00","No 'Maori' response given","180",".."," 92.3"
2018,"Regional Council","99","Area Outside Region","0","Not disabled","20","Maori","321"," 89.9"," 89.9"
2018,"Regional Council","99","Area Outside Region","0","Not disabled","Total","Total","504",".."," 91.8"
2018,"Regional Council","99","Area Outside Region","1","Disabled","00","No 'Maori' response given","12","..","  6.2"
2018,"Regional Council","99","Area Outside Region","1","Disabled","20","Maori","36"," 10.1"," 10.1"
2018,"Regional Council","99","Area Outside Region","1","Disabled","Total","Total","48","..","  8.7"
2018,"Regional Council","99","Area Outside Region","7","Response unidentifiable","00","No 'Maori' response given","C","..",".."
2018,"Regional Council","99","Area Outside Region","7","Response unidentifiable","20","Maori","C","..",".."
2018,"Regional Council","99","Area Outside Region","7","Response unidentifiable","Total","Total","0","..",".."
2018,"Regional Council","99","Area Outside Region","9","Not stated","00","No 'Maori' response given","30","..",".."
2018,"Regional Council","99","Area Outside Region","9","Not stated","20","Maori","54","..",".."
2018,"Regional Council","99","Area Outside Region","9","Not stated","Total","Total","84","..",".."
2018,"Regional Council","99","Area Outside Region","Total","Total","00","No 'Maori' response given","222","..",".."
2018,"Regional Council","99","Area Outside Region","Total","Total","20","Maori","414","..",".."
2018,"Regional Council","99","Area Outside Region","Total","Total","Total","Total","636","..",".."
2018,"Regional Council","99","Area Outside Region","Total stated","Total stated","00","No 'Maori' response given","195","..","100.0"
2018,"Regional Council","99","Area Outside Region","Total stated","Total stated","20","Maori","357","100.0","100.0"
2018,"Regional Council","99","Area Outside Region","Total stated","Total stated","Total","Total","549","..","100.0"
2018,"Regional Council","Total","Total","0","Not disabled","00","No 'Maori' response given","3006600",".."," 93.7"
2018,"Regional Council","Total","Total","0","Not disabled","20","Maori","450834"," 92.0"," 92.0"
2018,"Regional Council","Total","Total","0","Not disabled","Total","Total","3457437",".."," 93.5"
2018,"Regional Council","Total","Total","1","Disabled","00","No 'Maori' response given","202530","..","  6.3"
2018,"Regional Council","Total","Total","1","Disabled","20","Maori","39414","  8.0","  8.0"
2018,"Regional Council","Total","Total","1","Disabled","Total","Total","241947","..","  6.5"
2018,"Regional Council","Total","Total","7","Response unidentifiable","00","No 'Maori' response given","357","..",".."
2018,"Regional Council","Total","Total","7","Response unidentifiable","20","Maori","186","..",".."
2018,"Regional Council","Total","Total","7","Response unidentifiable","Total","Total","543","..",".."
2018,"Regional Council","Total","Total","9","Not stated","00","No 'Maori' response given","500715","..",".."
2018,"Regional Council","Total","Total","9","Not stated","20","Maori","204198","..",".."
2018,"Regional Council","Total","Total","9","Not stated","Total","Total","704910","..",".."
2018,"Regional Council","Total","Total","Total","Total","00","No 'Maori' response given","3710202","..",".."
2018,"Regional Council","Total","Total","Total","Total","20","Maori","694632","..",".."
2018,"Regional Council","Total","Total","Total","Total","Total","Total","4404834","..",".."
2018,"Regional Council","Total","Total","Total stated","Total stated","00","No 'Maori' response given","3209130","..","100.0"
2018,"Regional Council","Total","Total","Total stated","Total stated","20","Maori","490251","100.0","100.0"
2018,"Regional Council","Total","Total","Total stated","Total stated","Total","Total","3699381","..","100.0"
