"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2006","Statistical Area 2","100100","North Cape","120"
"2006","Statistical Area 2","100200","Rangaunu Harbour","140"
"2006","Statistical Area 2","100300","Inlets Far North District","C"
"2006","Statistical Area 2","100400","Karikari Peninsula","150"
"2006","Statistical Area 2","100500","Tangonge","140"
"2006","Statistical Area 2","100600","Ahipara","160"
"2006","Statistical Area 2","100700","Kaitaia East","160"
"2006","Statistical Area 2","100800","Kaitaia West","150"
"2006","Statistical Area 2","100900","Rangitihi","130"
"2006","Statistical Area 2","101000","Oruru-Parapara","150"
"2006","Statistical Area 2","101100","Taumarumaru","170"
"2006","Statistical Area 2","101200","Herekino-Takahue","120"
"2006","Statistical Area 2","101300","Peria","150"
"2006","Statistical Area 2","101400","Taemaro-Oruaiti","120"
"2006","Statistical Area 2","101500","Whakapaku","110"
"2006","Statistical Area 2","101600","Hokianga North","80"
"2006","Statistical Area 2","101700","Kohukohu-Broadwood","100"
"2006","Statistical Area 2","101800","Whakarara","120"
"2006","Statistical Area 2","101900","Kaeo","120"
"2006","Statistical Area 2","102000","Omahuta Forest-Horeke","100"
"2006","Statistical Area 2","102100","Hokianga South","120"
"2006","Statistical Area 2","102200","Lake Manuwai-Kapiro","200"
"2006","Statistical Area 2","102300","Okaihau","120"
"2006","Statistical Area 2","102400","Rangitane-Purerua","180"
"2006","Statistical Area 2","102500","Waipapa","220"
"2006","Statistical Area 2","102600","Puketotara","200"
"2006","Statistical Area 2","102700","Waima Forest","120"
"2006","Statistical Area 2","102800","Riverview","250"
"2006","Statistical Area 2","102900","Waipoua Forest","140"
"2006","Statistical Area 2","103000","Kerikeri Central","230"
"2006","Statistical Area 2","103100","Kerikeri South","240"
"2006","Statistical Area 2","103200","Ohaeawai-Waimate North","150"
"2006","Statistical Area 2","103300","Puketona-Waitangi","170"
"2006","Statistical Area 2","103400","Ngapuhi","140"
"2006","Statistical Area 2","103500","Kaikohe","150"
"2006","Statistical Area 2","103600","Pakaraka","140"
"2006","Statistical Area 2","103700","Haruru","200"
"2006","Statistical Area 2","103800","Russell","170"
"2006","Statistical Area 2","103900","Paihia","180"
"2006","Statistical Area 2","104000","Mataraua Forest","130"
"2006","Statistical Area 2","104100","Matawaia-Taumarere","120"
"2006","Statistical Area 2","104200","Russell Peninsula","180"
"2006","Statistical Area 2","104300","Opua (Far North District)","220"
"2006","Statistical Area 2","104400","Russell Forest-Rawhiti","120"
"2006","Statistical Area 2","104500","Moerewa","150"
"2006","Statistical Area 2","104600","Kawakawa","130"
"2006","Statistical Area 2","104700","Maromaku","120"
"2006","Statistical Area 2","104800","Mangakahia-Hukerenui","100"
"2006","Statistical Area 2","104900","Whangaruru","140"
"2006","Statistical Area 2","105000","Inlets other Whangarei District","C"
"2006","Statistical Area 2","105100","Matarau","170"
"2006","Statistical Area 2","105200","Hikurangi","180"
"2006","Statistical Area 2","105300","Kauri","150"
"2006","Statistical Area 2","105400","Maungatapere","180"
"2006","Statistical Area 2","105500","Kamo West","180"
"2006","Statistical Area 2","105600","Matapouri-Tutukaka","200"
"2006","Statistical Area 2","105700","Kiripaka","220"
"2006","Statistical Area 2","105800","Kamo East","200"
"2006","Statistical Area 2","105900","Granfield Reserve","200"
"2006","Statistical Area 2","106000","Kamo Central","190"
"2006","Statistical Area 2","106100","Whau Valley","170"
"2006","Statistical Area 2","106200","Tikipunga North","180"
"2006","Statistical Area 2","106300","Pukenui","180"
"2006","Statistical Area 2","106400","Otangarei","100"
"2006","Statistical Area 2","106500","Tikipunga South","200"
"2006","Statistical Area 2","106600","Kensington (Whangarei District)","180"
"2006","Statistical Area 2","106700","Abbey Caves-Glenbervie","150"
"2006","Statistical Area 2","106800","Mairtown","180"
"2006","Statistical Area 2","106900","Maunu-Horahora","180"
"2006","Statistical Area 2","107000","Woodhill-Vinetown","170"
"2006","Statistical Area 2","107100","Whangarei Central","160"
"2006","Statistical Area 2","107200","Riverside","200"
"2006","Statistical Area 2","107300","Raumanga","180"
"2006","Statistical Area 2","107400","Tarewa","180"
"2006","Statistical Area 2","107500","Morningside (Whangarei District)","180"
"2006","Statistical Area 2","107600","Ngunguru","200"
"2006","Statistical Area 2","107700","Otaika-Portland","190"
"2006","Statistical Area 2","107800","Oakleigh-Mangapai","110"
"2006","Statistical Area 2","107900","Port-Limeburners","C"
"2006","Statistical Area 2","108000","Pataua","160"
"2006","Statistical Area 2","108100","Onerahi Park","200"
"2006","Statistical Area 2","108200","Sherwood Rise","170"
"2006","Statistical Area 2","108300","Onerahi","190"
"2006","Statistical Area 2","108400","Inlet Whangarei Harbour","C"
"2006","Statistical Area 2","108500","Parua Bay","200"
"2006","Statistical Area 2","108600","Bream Bay","150"
"2006","Statistical Area 2","108700","Marsden Bay","230"
"2006","Statistical Area 2","108800","Ruakaka","200"
"2006","Statistical Area 2","108900","Bream Head","230"
"2006","Statistical Area 2","109000","Waipu","180"
"2006","Statistical Area 2","109100","Kaipara Coastal","130"
"2006","Statistical Area 2","109200","Maungaru","110"
"2006","Statistical Area 2","109300","Dargaville","140"
"2006","Statistical Area 2","109400","Ruawai-Matakohe","100"
"2006","Statistical Area 2","109500","Otamatea (Kaipara District)","130"
"2006","Statistical Area 2","109600","Maungaturoto","150"
"2006","Statistical Area 2","109700","Kaiwaka","160"
"2006","Statistical Area 2","109800","Mangawhai Rural","200"
"2006","Statistical Area 2","109900","Mangawhai Heads","200"
"2006","Statistical Area 2","110000","Inlet Mangawhai Harbour","C"
"2006","Statistical Area 2","110100","Mangawhai","230"
"2006","Statistical Area 2","110200","Okahukura Peninsula","180"
"2006","Statistical Area 2","110300","Inlet Kaipara Harbour South","C"
"2006","Statistical Area 2","110400","Cape Rodney","210"
"2006","Statistical Area 2","110500","Wellsford","220"
"2006","Statistical Area 2","110600","Oceanic Auckland Region East","C"
"2006","Statistical Area 2","110700","South Head","200"
"2006","Statistical Area 2","110800","Kaipara Hills","200"
"2006","Statistical Area 2","110900","Dome Valley-Matakana","270"
"2006","Statistical Area 2","111000","Oceanic Auckland Region West","C"
"2006","Statistical Area 2","111100","Warkworth West","250"
"2006","Statistical Area 2","111200","Puhoi Valley","250"
"2006","Statistical Area 2","111300","Warkworth East","260"
"2006","Statistical Area 2","111400","Sandspit","250"
"2006","Statistical Area 2","111500","Tawharanui Peninsula","250"
"2006","Statistical Area 2","111600","Te Kuru","250"
"2006","Statistical Area 2","111700","Snells Beach","260"
"2006","Statistical Area 2","111800","Barrier Islands","100"
"2006","Statistical Area 2","111900","Algies Bay-Scotts Landing","250"
