"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2018","Statistical Area 2","109000","Waipu","320"
"2018","Statistical Area 2","109100","Kaipara Coastal","200"
"2018","Statistical Area 2","109200","Maungaru","200"
"2018","Statistical Area 2","109300","Dargaville","240"
"2018","Statistical Area 2","109400","Ruawai-Matakohe","200"
"2018","Statistical Area 2","109500","Otamatea (Kaipara District)","250"
"2018","Statistical Area 2","109600","Maungaturoto","260"
"2018","Statistical Area 2","109700","Kaiwaka","270"
"2018","Statistical Area 2","109800","Mangawhai Rural","380"
"2018","Statistical Area 2","109900","Mangawhai Heads","380"
"2018","Statistical Area 2","110000","Inlet Mangawhai Harbour","C"
"2018","Statistical Area 2","110100","Mangawhai","410"
"2018","Statistical Area 2","110200","Okahukura Peninsula","300"
"2018","Statistical Area 2","110300","Inlet Kaipara Harbour South","C"
"2018","Statistical Area 2","110400","Cape Rodney","350"
"2018","Statistical Area 2","110500","Wellsford","370"
"2018","Statistical Area 2","110600","Oceanic Auckland Region East","C"
"2018","Statistical Area 2","110700","South Head","350"
"2018","Statistical Area 2","110800","Kaipara Hills","300"
"2018","Statistical Area 2","110900","Dome Valley-Matakana","450"
"2018","Statistical Area 2","111000","Oceanic Auckland Region West","C"
"2018","Statistical Area 2","111100","Warkworth West","450"
"2018","Statistical Area 2","111200","Puhoi Valley","400"
"2018","Statistical Area 2","111300","Warkworth East","450"
"2018","Statistical Area 2","111400","Sandspit","400"
"2018","Statistical Area 2","111500","Tawharanui Peninsula","440"
"2018","Statistical Area 2","111600","Te Kuru","400"
"2018","Statistical Area 2","111700","Snells Beach","420"
"2018","Statistical Area 2","111800","Barrier Islands","160"
"2018","Statistical Area 2","111900","Algies Bay-Scotts Landing","390"
"2018","Statistical Area 2","112000","Inlets other Auckland","C"
"2018","Statistical Area 2","112100","Wainui-Waiwera","380"
"2018","Statistical Area 2","112200","Parakai","320"
"2018","Statistical Area 2","112300","Helensville Rural","400"
"2018","Statistical Area 2","112400","Helensville","380"
"2018","Statistical Area 2","112500","Waitoki","450"
"2018","Statistical Area 2","112600","Waikoukou Valley","420"
"2018","Statistical Area 2","112700","Orewa North","600"
"2018","Statistical Area 2","112800","Hatfields Beach","500"
"2018","Statistical Area 2","112900","Orewa South","450"
"2018","Statistical Area 2","113000","Orewa Central","460"
"2018","Statistical Area 2","113100","Millwater North","720"
"2018","Statistical Area 2","113200","Waipatukahu","400"
"2018","Statistical Area 2","113300","Millwater South","760"
"2018","Statistical Area 2","113400","Dairy Flat North","610"
"2018","Statistical Area 2","113500","Dairy Flat West","500"
"2018","Statistical Area 2","113600","Kingsway","600"
"2018","Statistical Area 2","113700","Riverhead Forest","C"
"2018","Statistical Area 2","113800","Silverdale Central (Auckland)","410"
"2018","Statistical Area 2","113900","Red Beach West","420"
"2018","Statistical Area 2","114000","Red Beach East","490"
"2018","Statistical Area 2","114100","Silverdale South (Auckland)","460"
"2018","Statistical Area 2","114200","Waimauku","460"
"2018","Statistical Area 2","114300","Gulf Islands","C"
"2018","Statistical Area 2","114400","Vipond","440"
"2018","Statistical Area 2","114500","Muriwai","490"
"2018","Statistical Area 2","114600","Stanmore Bay West","490"
"2018","Statistical Area 2","114700","Kumeu Rural West","450"
"2018","Statistical Area 2","114800","Okura Bush","550"
"2018","Statistical Area 2","114900","Whangaparoa Central","480"
"2018","Statistical Area 2","115000","Kumeu-Huapai","580"
"2018","Statistical Area 2","115100","Stanmore Bay East","470"
"2018","Statistical Area 2","115200","Manly West","480"
"2018","Statistical Area 2","115300","Muriwai Valley-Bethells Beach","420"
"2018","Statistical Area 2","115400","Tindalls-Matakatia","470"
"2018","Statistical Area 2","115500","Coatesville","520"
"2018","Statistical Area 2","115600","Dairy Flat South","590"
"2018","Statistical Area 2","115700","Gulf Harbour North","550"
"2018","Statistical Area 2","115800","Manly East","480"
"2018","Statistical Area 2","115900","Riverhead","580"
"2018","Statistical Area 2","116000","Army Bay","450"
"2018","Statistical Area 2","116100","Kumeu Rural East","450"
"2018","Statistical Area 2","116200","Gulf Harbour South","500"
"2018","Statistical Area 2","116300","Paremoremo West","550"
"2018","Statistical Area 2","116400","Taupaki","450"
"2018","Statistical Area 2","116500","Long Bay","900"
"2018","Statistical Area 2","116600","Paremoremo East","490"
"2018","Statistical Area 2","116700","Albany Heights","600"
"2018","Statistical Area 2","116800","Awaruku","560"
"2018","Statistical Area 2","116900","Fairview Heights","630"
"2018","Statistical Area 2","117000","Whenuapai","400"
"2018","Statistical Area 2","117100","Waitakere Ranges North","340"
"2018","Statistical Area 2","117200","Torbay","550"
"2018","Statistical Area 2","117300","Albany Central","370"
"2018","Statistical Area 2","117400","Albany West","560"
"2018","Statistical Area 2","117500","Glamorgan","520"
"2018","Statistical Area 2","117600","Oteha East","560"
"2018","Statistical Area 2","117700","Northcross","560"
"2018","Statistical Area 2","117800","Oteha West","480"
"2018","Statistical Area 2","117900","Waiake","580"
"2018","Statistical Area 2","118000","Waitakere","420"
"2018","Statistical Area 2","118100","Albany South","600"
"2018","Statistical Area 2","118200","Browns Bay South West","560"
"2018","Statistical Area 2","118300","Browns Bay Central","500"
"2018","Statistical Area 2","118400","Schnapper Rock","610"
"2018","Statistical Area 2","118500","Pinehill","650"
"2018","Statistical Area 2","118600","North Harbour","420"
"2018","Statistical Area 2","118700","Browns Bay South East","570"
"2018","Statistical Area 2","118800","Westgate Central","500"
"2018","Statistical Area 2","118900","Greenhithe West","550"
"2018","Statistical Area 2","119000","Rothesay Bay","640"
"2018","Statistical Area 2","119100","Greenhithe East","700"
"2018","Statistical Area 2","119200","Hobsonville","600"
"2018","Statistical Area 2","119300","Inlet Waitemata Harbour","C"
"2018","Statistical Area 2","119400","Greenhithe South","540"
"2018","Statistical Area 2","119500","Murrays Bay West","640"
"2018","Statistical Area 2","119600","Westgate South","450"
"2018","Statistical Area 2","119700","Windsor Park","500"
"2018","Statistical Area 2","119800","West Harbour West","460"
"2018","Statistical Area 2","119900","Unsworth Heights West","600"
"2018","Statistical Area 2","120000","Murrays Bay East","600"
"2018","Statistical Area 2","120100","Birdwood West","430"
"2018","Statistical Area 2","120200","Hobsonville Point","650"
"2018","Statistical Area 2","120300","West Harbour Clearwater Cove","600"
"2018","Statistical Area 2","120400","Unsworth Heights East","540"
"2018","Statistical Area 2","120500","Mairangi Bay North","600"
"2018","Statistical Area 2","120600","Massey Central","450"
"2018","Statistical Area 2","120700","West Harbour Luckens Point","600"
"2018","Statistical Area 2","120800","Mairangi Bay South","600"
"2018","Statistical Area 2","120900","Massey Royal Road West","450"
"2018","Statistical Area 2","121000","Bayview East","500"
"2018","Statistical Area 2","121100","Swanson Rural","450"
"2018","Statistical Area 2","121200","Sunnynook South","550"
"2018","Statistical Area 2","121300","Sunnynook North","550"
"2018","Statistical Area 2","121400","Bayview West","500"
"2018","Statistical Area 2","121500","Totara Vale North","520"
"2018","Statistical Area 2","121600","Royal Heights North","450"
"2018","Statistical Area 2","121700","Massey West","490"
"2018","Statistical Area 2","121800","Beach Haven West","460"
"2018","Statistical Area 2","121900","Totara Vale South","480"
"2018","Statistical Area 2","122000","Swanson","460"
"2018","Statistical Area 2","122100","Bayview South","510"
"2018","Statistical Area 2","122200","Campbells Bay","670"
"2018","Statistical Area 2","122300","Royal Heights South","400"
"2018","Statistical Area 2","122400","Beach Haven East","390"
"2018","Statistical Area 2","122500","Massey East","420"
"2018","Statistical Area 2","122600","Forrest Hill North","580"
"2018","Statistical Area 2","122700","Glenfield North","500"
"2018","Statistical Area 2","122800","Birkdale North","470"
"2018","Statistical Area 2","122900","Massey South","440"
"2018","Statistical Area 2","123000","Ranui North","400"
"2018","Statistical Area 2","123100","Glenfield West","480"
"2018","Statistical Area 2","123200","Te Atatu Peninsula North West","450"
"2018","Statistical Area 2","123300","Glenfield South West","500"
"2018","Statistical Area 2","123400","Forrest Hill West","580"
"2018","Statistical Area 2","123500","Wairau Valley","460"
"2018","Statistical Area 2","123600","Forrest Hill East","540"
"2018","Statistical Area 2","123700","Castor Bay","640"
"2018","Statistical Area 2","123800","Ranui Domain","400"
"2018","Statistical Area 2","123900","Beach Haven South","520"
"2018","Statistical Area 2","124000","Glenfield Central","470"
"2018","Statistical Area 2","124100","Piha","400"
"2018","Statistical Area 2","124200","Ranui South West","400"
"2018","Statistical Area 2","124300","Henderson Larnoch","420"
"2018","Statistical Area 2","124400","Birkdale South","490"
"2018","Statistical Area 2","124500","Te Atatu Peninsula Central","440"
"2018","Statistical Area 2","124600","Glenfield East","490"
"2018","Statistical Area 2","124700","Henderson Valley","450"
"2018","Statistical Area 2","124800","Te Atatu Peninsula West","460"
"2018","Statistical Area 2","124900","Henderson Lincoln West","440"
"2018","Statistical Area 2","125000","Ranui South East","440"
"2018","Statistical Area 2","125100","Henderson Lincoln East","410"
"2018","Statistical Area 2","125200","Birkenhead West","500"
"2018","Statistical Area 2","125300","Te Atatu Peninsula East","500"
"2018","Statistical Area 2","125400","Milford West","500"
"2018","Statistical Area 2","125500","Westlake","510"
"2018","Statistical Area 2","125600","Hillcrest North (Auckland)","460"
"2018","Statistical Area 2","125700","Henderson Lincoln South","440"
"2018","Statistical Area 2","125800","Hillcrest West (Auckland)","520"
"2018","Statistical Area 2","125900","Milford Central","520"
"2018","Statistical Area 2","126000","Summerland South","600"
"2018","Statistical Area 2","126100","Summerland North","520"
"2018","Statistical Area 2","126200","Hillcrest East (Auckland)","520"
"2018","Statistical Area 2","126300","Chatswood","620"
"2018","Statistical Area 2","126400","Te Atatu South-Edmonton","440"
"2018","Statistical Area 2","126500","Birkenhead North","480"
"2018","Statistical Area 2","126600","Takapuna West","510"
"2018","Statistical Area 2","126700","Henderson North","440"
"2018","Statistical Area 2","126800","Takapuna Central","570"
"2018","Statistical Area 2","126900","Western Heights (Auckland)","510"
"2018","Statistical Area 2","127000","Te Atatu South-Central","460"
"2018","Statistical Area 2","127100","Northcote Central (Auckland)","200"
"2018","Statistical Area 2","127200","Akoranga","270"
"2018","Statistical Area 2","127300","Northcote South (Auckland)","500"
"2018","Statistical Area 2","127400","Birkenhead South","490"
"2018","Statistical Area 2","127500","Henderson Central","300"
"2018","Statistical Area 2","127600","Waiatarua","400"
"2018","Statistical Area 2","127700","Te Atatu South-McLeod North","450"
"2018","Statistical Area 2","127800","Henderson Valley Park","410"
"2018","Statistical Area 2","127900","Henderson North East","400"
"2018","Statistical Area 2","128000","Waitakere Ranges South","390"
"2018","Statistical Area 2","128100","Northcote Tuff Crater","500"
"2018","Statistical Area 2","128200","Northcote Point (Auckland)","540"
"2018","Statistical Area 2","128300","McLaren Park","420"
"2018","Statistical Area 2","128400","Henderson East","430"
"2018","Statistical Area 2","128500","Te Atatu South-McLeod South","450"
"2018","Statistical Area 2","128600","Takapuna South","580"
"2018","Statistical Area 2","128700","Rosebank Peninsula","C"
"2018","Statistical Area 2","128800","Hauraki","510"
"2018","Statistical Area 2","128900","Glendene North","440"
"2018","Statistical Area 2","129000","Sunnyvale West-Parrs Park","420"
"2018","Statistical Area 2","129100","Sunnyvale East","450"
"2018","Statistical Area 2","129200","Point Chevalier West","430"
"2018","Statistical Area 2","129300","Belmont (Auckland)","460"
"2018","Statistical Area 2","129400","Bayswater","270"
"2018","Statistical Area 2","129500","Glendene South","420"
"2018","Statistical Area 2","129600","Glen Eden West","400"
"2018","Statistical Area 2","129700","Herne Bay","540"
"2018","Statistical Area 2","129800","Westmere North","590"
"2018","Statistical Area 2","129900","Point Chevalier East","480"
"2018","Statistical Area 2","130000","Oratia","400"
"2018","Statistical Area 2","130100","Glen Eden Rosier","430"
"2018","Statistical Area 2","130200","Saint Marys Bay","500"
"2018","Statistical Area 2","130300","Westmere South-Western Springs","590"
"2018","Statistical Area 2","130400","Ponsonby West","520"
"2018","Statistical Area 2","130500","Kelston North","450"
"2018","Statistical Area 2","130600","Avondale Rosebank","420"
"2018","Statistical Area 2","130700","Narrow Neck","450"
"2018","Statistical Area 2","130800","Glen Eden North","380"
"2018","Statistical Area 2","130900","Glen Eden Woodglen","410"
"2018","Statistical Area 2","131000","Kelston South","400"
"2018","Statistical Area 2","131100","Waterview","390"
"2018","Statistical Area 2","131200","Ponsonby East","690"
"2018","Statistical Area 2","131300","Wynyard-Viaduct","600"
"2018","Statistical Area 2","131400","Stanley Point","600"
"2018","Statistical Area 2","131500","Glen Eden Central","420"
"2018","Statistical Area 2","131600","Grey Lynn North","650"
"2018","Statistical Area 2","131700","Avondale West (Auckland)","350"
"2018","Statistical Area 2","131800","Freemans Bay","550"
"2018","Statistical Area 2","131900","Mount Albert West","440"
"2018","Statistical Area 2","132000","Avondale North (Auckland)","460"
"2018","Statistical Area 2","132100","Grey Lynn West","460"
"2018","Statistical Area 2","132200","Mount Albert North","440"
"2018","Statistical Area 2","132300","New Lynn North","420"
"2018","Statistical Area 2","132400","Victoria Park","490"
"2018","Statistical Area 2","132500","Konini","460"
"2018","Statistical Area 2","132600","New Lynn North West","420"
"2018","Statistical Area 2","132700","Hobson Ridge North","460"
"2018","Statistical Area 2","132800","Grey Lynn Central","600"
"2018","Statistical Area 2","132900","Fruitvale","420"
"2018","Statistical Area 2","133000","Devonport","520"
"2018","Statistical Area 2","133100","Avondale Central (Auckland)","390"
"2018","Statistical Area 2","133200","Queen Street","420"
"2018","Statistical Area 2","133300","Quay Street-Customs Street","510"
"2018","Statistical Area 2","133400","Hobson Ridge Central","440"
"2018","Statistical Area 2","133500","Grey Lynn East","600"
"2018","Statistical Area 2","133600","Morningside (Auckland)","460"
"2018","Statistical Area 2","133700","Shortland Street","440"
"2018","Statistical Area 2","133800","Hobson Ridge South","440"
"2018","Statistical Area 2","133900","New Lynn Central","430"
"2018","Statistical Area 2","134000","Cheltenham","490"
"2018","Statistical Area 2","134100","Queen Street South West","430"
"2018","Statistical Area 2","134200","Mount Albert Central","460"
"2018","Statistical Area 2","134300","Karangahape","520"
"2018","Statistical Area 2","134400","Kingsland","570"
"2018","Statistical Area 2","134500","Anzac Avenue","440"
"2018","Statistical Area 2","134600","Waima-Woodlands Park","520"
"2018","Statistical Area 2","134700","Kaurilands","450"
"2018","Statistical Area 2","134800","Auckland-University","370"
"2018","Statistical Area 2","134900","New Lynn Seabrook","410"
"2018","Statistical Area 2","135000","Avondale South (Auckland)","440"
"2018","Statistical Area 2","135100","Symonds Street North West","390"
"2018","Statistical Area 2","135200","Mount Albert South","480"
"2018","Statistical Area 2","135300","Symonds Street West","460"
"2018","Statistical Area 2","135400","West Lynn","480"
"2018","Statistical Area 2","135500","Owairaka West","400"
"2018","Statistical Area 2","135600","New Lynn Central South","400"
"2018","Statistical Area 2","135700","The Strand","550"
"2018","Statistical Area 2","135800","St Lukes","490"
"2018","Statistical Area 2","135900","Symonds Street East","450"
"2018","Statistical Area 2","136000","Eden Terrace","480"
"2018","Statistical Area 2","136100","Grafton","500"
"2018","Statistical Area 2","136200","Eden Park","520"
"2018","Statistical Area 2","136300","Sandringham North","470"
"2018","Statistical Area 2","136400","Parnell West","570"
"2018","Statistical Area 2","136500","New Lynn South","440"
"2018","Statistical Area 2","136600","New Windsor North","480"
"2018","Statistical Area 2","136700","Titirangi South","480"
"2018","Statistical Area 2","136800","Owairaka East","430"
"2018","Statistical Area 2","136900","Eden Valley","420"
"2018","Statistical Area 2","137000","Sandringham Central","450"
"2018","Statistical Area 2","137100","Glenavon","330"
"2018","Statistical Area 2","137200","Blockhouse Bay North","440"
"2018","Statistical Area 2","137300","Green Bay North","440"
"2018","Statistical Area 2","137400","Parnell East","560"
"2018","Statistical Area 2","137500","Laingholm","450"
"2018","Statistical Area 2","137600","Sandringham West","500"
"2018","Statistical Area 2","137700","Mount Eden North East","580"
"2018","Statistical Area 2","137800","Mount Eden North","400"
"2018","Statistical Area 2","137900","Wesley West","170"
"2018","Statistical Area 2","138000","Green Bay South","410"
"2018","Statistical Area 2","138100","Balmoral","480"
"2018","Statistical Area 2","138200","Sandringham East","420"
"2018","Statistical Area 2","138300","New Windsor South","460"
"2018","Statistical Area 2","138400","Mount Eden West","450"
"2018","Statistical Area 2","138500","Newmarket","550"
"2018","Statistical Area 2","138600","Blockhouse Bay North East","500"
"2018","Statistical Area 2","138700","Epsom North","530"
"2018","Statistical Area 2","138800","Wesley South","C"
"2018","Statistical Area 2","138900","Blockhouse Bay South","500"
"2018","Statistical Area 2","139000","Mount Eden East","470"
"2018","Statistical Area 2","139100","Wesley East","140"
"2018","Statistical Area 2","139200","Orakei West","560"
"2018","Statistical Area 2","139300","Maungawhau","500"
"2018","Statistical Area 2","139400","Remuera West","620"
