"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2018","Regional Council","01","Northland Region","270"
"2018","Regional Council","02","Auckland Region","450"
"2018","Regional Council","03","Waikato Region","300"
"2018","Regional Council","04","Bay of Plenty Region","320"
"2018","Regional Council","05","Gisborne Region","220"
"2018","Regional Council","06","Hawke's Bay Region","260"
"2018","Regional Council","07","Taranaki Region","250"
"2018","Regional Council","08","Manawatu-Wanganui Region","220"
"2018","Regional Council","09","Wellington Region","350"
"2018","Regional Council","12","West Coast Region","200"
"2018","Regional Council","13","Canterbury Region","330"
"2018","Regional Council","14","Otago Region","290"
"2018","Regional Council","15","Southland Region","200"
"2018","Regional Council","16","Tasman Region","300"
"2018","Regional Council","17","Nelson Region","340"
"2018","Regional Council","18","Marlborough Region","280"
"2018","Regional Council","99","Area Outside Region","150"
"2018","Regional Council","Total","Total","340"
"2018","Territorial Authority Local Board","00100","Far North District","240"
"2018","Territorial Authority Local Board","00200","Whangarei District","300"
"2018","Territorial Authority Local Board","00300","Kaipara District","250"
"2018","Territorial Authority Local Board","01100","Thames-Coromandel District","280"
"2018","Territorial Authority Local Board","01200","Hauraki District","250"
"2018","Territorial Authority Local Board","01300","Waikato District","300"
"2018","Territorial Authority Local Board","01500","Matamata-Piako District","260"
"2018","Territorial Authority Local Board","01600","Hamilton City","350"
"2018","Territorial Authority Local Board","01700","Waipa District","310"
"2018","Territorial Authority Local Board","01800","Otorohanga District","200"
"2018","Territorial Authority Local Board","01900","South Waikato District","200"
"2018","Territorial Authority Local Board","02000","Waitomo District","180"
"2018","Territorial Authority Local Board","02100","Taupo District","280"
"2018","Territorial Authority Local Board","02200","Western Bay of Plenty District","300"
"2018","Territorial Authority Local Board","02300","Tauranga City","400"
"2018","Territorial Authority Local Board","02400","Rotorua District","270"
"2018","Territorial Authority Local Board","02500","Whakatane District","240"
"2018","Territorial Authority Local Board","02600","Kawerau District","200"
"2018","Territorial Authority Local Board","02700","Opotiki District","200"
"2018","Territorial Authority Local Board","02800","Gisborne District","220"
"2018","Territorial Authority Local Board","02900","Wairoa District","160"
"2018","Territorial Authority Local Board","03000","Hastings District","280"
"2018","Territorial Authority Local Board","03100","Napier City","280"
"2018","Territorial Authority Local Board","03200","Central Hawke's Bay District","190"
"2018","Territorial Authority Local Board","03300","New Plymouth District","300"
"2018","Territorial Authority Local Board","03400","Stratford District","210"
"2018","Territorial Authority Local Board","03500","South Taranaki District","200"
"2018","Territorial Authority Local Board","03600","Ruapehu District","160"
"2018","Territorial Authority Local Board","03700","Whanganui District","200"
"2018","Territorial Authority Local Board","03800","Rangitikei District","180"
"2018","Territorial Authority Local Board","03900","Manawatu District","240"
"2018","Territorial Authority Local Board","04000","Palmerston North City","270"
"2018","Territorial Authority Local Board","04100","Tararua District","180"
"2018","Territorial Authority Local Board","04200","Horowhenua District","220"
"2018","Territorial Authority Local Board","04300","Kapiti Coast District","340"
"2018","Territorial Authority Local Board","04400","Porirua City","260"
"2018","Territorial Authority Local Board","04500","Upper Hutt City","300"
"2018","Territorial Authority Local Board","04600","Lower Hutt City","300"
"2018","Territorial Authority Local Board","04700","Wellington City","440"
"2018","Territorial Authority Local Board","04800","Masterton District","250"
"2018","Territorial Authority Local Board","04900","Carterton District","250"
"2018","Territorial Authority Local Board","05000","South Wairarapa District","250"
"2018","Territorial Authority Local Board","05100","Tasman District","300"
"2018","Territorial Authority Local Board","05200","Nelson City","340"
"2018","Territorial Authority Local Board","05300","Marlborough District","280"
"2018","Territorial Authority Local Board","05400","Kaikoura District","250"
"2018","Territorial Authority Local Board","05500","Buller District","180"
"2018","Territorial Authority Local Board","05600","Grey District","220"
"2018","Territorial Authority Local Board","05700","Westland District","200"
"2018","Territorial Authority Local Board","05800","Hurunui District","220"
"2018","Territorial Authority Local Board","05900","Waimakariri District","360"
"2018","Territorial Authority Local Board","06000","Christchurch City","350"
"2018","Territorial Authority Local Board","06200","Selwyn District","370"
"2018","Territorial Authority Local Board","06300","Ashburton District","250"
"2018","Territorial Authority Local Board","06400","Timaru District","250"
"2018","Territorial Authority Local Board","06500","Mackenzie District","200"
"2018","Territorial Authority Local Board","06600","Waimate District","190"
"2018","Territorial Authority Local Board","06700","Chatham Islands Territory","150"
"2018","Territorial Authority Local Board","06800","Waitaki District","230"
"2018","Territorial Authority Local Board","06900","Central Otago District","290"
"2018","Territorial Authority Local Board","07000","Queenstown-Lakes District","530"
"2018","Territorial Authority Local Board","07100","Dunedin City","280"
"2018","Territorial Authority Local Board","07200","Clutha District","170"
"2018","Territorial Authority Local Board","07300","Southland District","150"
"2018","Territorial Authority Local Board","07400","Gore District","200"
"2018","Territorial Authority Local Board","07500","Invercargill City","230"
"2018","Territorial Authority Local Board","07601","Rodney Local Board Area","420"
"2018","Territorial Authority Local Board","07602","Hibiscus and Bays Local Board Area","520"
"2018","Territorial Authority Local Board","07603","Upper Harbour Local Board Area","550"
"2018","Territorial Authority Local Board","07604","Kaipatiki Local Board Area","490"
"2018","Territorial Authority Local Board","07605","Devonport-Takapuna Local Board Area","530"
"2018","Territorial Authority Local Board","07606","Henderson-Massey Local Board Area","440"
"2018","Territorial Authority Local Board","07607","Waitakere Ranges Local Board Area","420"
"2018","Territorial Authority Local Board","07608","Great Barrier Local Board Area","160"
"2018","Territorial Authority Local Board","07609","Waiheke Local Board Area","450"
"2018","Territorial Authority Local Board","07610","Waitemata Local Board Area","480"
"2018","Territorial Authority Local Board","07611","Whau Local Board Area","430"
"2018","Territorial Authority Local Board","07612","Albert-Eden Local Board Area","480"
"2018","Territorial Authority Local Board","07613","Puketapapa Local Board Area","450"
"2018","Territorial Authority Local Board","07614","Orakei Local Board Area","550"
"2018","Territorial Authority Local Board","07615","Maungakiekie-Tamaki Local Board Area","400"
"2018","Territorial Authority Local Board","07616","Howick Local Board Area","530"
"2018","Territorial Authority Local Board","07617","Mangere-Otahuhu Local Board Area","320"
"2018","Territorial Authority Local Board","07618","Otara-Papatoetoe Local Board Area","390"
"2018","Territorial Authority Local Board","07619","Manurewa Local Board Area","420"
"2018","Territorial Authority Local Board","07620","Papakura Local Board Area","420"
"2018","Territorial Authority Local Board","07621","Franklin Local Board Area","410"
"2018","Territorial Authority Local Board","99900","Area Outside Territorial Authority","C"
"2018","Territorial Authority Local Board","Total","Total","340"
"2018","Statistical Area 2","100100","North Cape","180"
"2018","Statistical Area 2","100200","Rangaunu Harbour","210"
"2018","Statistical Area 2","100300","Inlets Far North District","C"
"2018","Statistical Area 2","100400","Karikari Peninsula","200"
"2018","Statistical Area 2","100500","Tangonge","220"
"2018","Statistical Area 2","100600","Ahipara","260"
"2018","Statistical Area 2","100700","Kaitaia East","220"
"2018","Statistical Area 2","100800","Kaitaia West","240"
"2018","Statistical Area 2","100900","Rangitihi","220"
"2018","Statistical Area 2","101000","Oruru-Parapara","230"
"2018","Statistical Area 2","101100","Taumarumaru","260"
"2018","Statistical Area 2","101200","Herekino-Takahue","200"
"2018","Statistical Area 2","101300","Peria","220"
"2018","Statistical Area 2","101400","Taemaro-Oruaiti","250"
"2018","Statistical Area 2","101500","Whakapaku","200"
"2018","Statistical Area 2","101600","Hokianga North","120"
"2018","Statistical Area 2","101700","Kohukohu-Broadwood","150"
"2018","Statistical Area 2","101800","Whakarara","200"
"2018","Statistical Area 2","101900","Kaeo","200"
"2018","Statistical Area 2","102000","Omahuta Forest-Horeke","150"
"2018","Statistical Area 2","102100","Hokianga South","200"
"2018","Statistical Area 2","102200","Lake Manuwai-Kapiro","350"
"2018","Statistical Area 2","102300","Okaihau","230"
"2018","Statistical Area 2","102400","Rangitane-Purerua","350"
"2018","Statistical Area 2","102500","Waipapa","360"
"2018","Statistical Area 2","102600","Puketotara","320"
"2018","Statistical Area 2","102700","Waima Forest","160"
"2018","Statistical Area 2","102800","Riverview","350"
"2018","Statistical Area 2","102900","Waipoua Forest","200"
"2018","Statistical Area 2","103000","Kerikeri Central","340"
"2018","Statistical Area 2","103100","Kerikeri South","360"
"2018","Statistical Area 2","103200","Ohaeawai-Waimate North","250"
"2018","Statistical Area 2","103300","Puketona-Waitangi","250"
"2018","Statistical Area 2","103400","Ngapuhi","200"
"2018","Statistical Area 2","103500","Kaikohe","210"
"2018","Statistical Area 2","103600","Pakaraka","310"
"2018","Statistical Area 2","103700","Haruru","300"
"2018","Statistical Area 2","103800","Russell","250"
"2018","Statistical Area 2","103900","Paihia","280"
"2018","Statistical Area 2","104000","Mataraua Forest","200"
"2018","Statistical Area 2","104100","Matawaia-Taumarere","200"
"2018","Statistical Area 2","104200","Russell Peninsula","300"
"2018","Statistical Area 2","104300","Opua (Far North District)","320"
"2018","Statistical Area 2","104400","Russell Forest-Rawhiti","200"
"2018","Statistical Area 2","104500","Moerewa","220"
"2018","Statistical Area 2","104600","Kawakawa","220"
"2018","Statistical Area 2","104700","Maromaku","200"
"2018","Statistical Area 2","104800","Mangakahia-Hukerenui","200"
"2018","Statistical Area 2","104900","Whangaruru","250"
"2018","Statistical Area 2","105000","Inlets other Whangarei District","C"
"2018","Statistical Area 2","105100","Matarau","300"
"2018","Statistical Area 2","105200","Hikurangi","300"
"2018","Statistical Area 2","105300","Kauri","320"
"2018","Statistical Area 2","105400","Maungatapere","300"
"2018","Statistical Area 2","105500","Kamo West","320"
"2018","Statistical Area 2","105600","Matapouri-Tutukaka","320"
"2018","Statistical Area 2","105700","Kiripaka","310"
"2018","Statistical Area 2","105800","Kamo East","340"
"2018","Statistical Area 2","105900","Granfield Reserve","330"
"2018","Statistical Area 2","106000","Kamo Central","310"
"2018","Statistical Area 2","106100","Whau Valley","290"
"2018","Statistical Area 2","106200","Tikipunga North","280"
"2018","Statistical Area 2","106300","Pukenui","350"
"2018","Statistical Area 2","106400","Otangarei","140"
"2018","Statistical Area 2","106500","Tikipunga South","320"
"2018","Statistical Area 2","106600","Kensington (Whangarei District)","290"
"2018","Statistical Area 2","106700","Abbey Caves-Glenbervie","330"
"2018","Statistical Area 2","106800","Mairtown","300"
"2018","Statistical Area 2","106900","Maunu-Horahora","320"
"2018","Statistical Area 2","107000","Woodhill-Vinetown","300"
"2018","Statistical Area 2","107100","Whangarei Central","260"
"2018","Statistical Area 2","107200","Riverside","310"
"2018","Statistical Area 2","107300","Raumanga","270"
"2018","Statistical Area 2","107400","Tarewa","260"
"2018","Statistical Area 2","107500","Morningside (Whangarei District)","320"
"2018","Statistical Area 2","107600","Ngunguru","320"
"2018","Statistical Area 2","107700","Otaika-Portland","300"
"2018","Statistical Area 2","107800","Oakleigh-Mangapai","250"
"2018","Statistical Area 2","107900","Port-Limeburners","250"
"2018","Statistical Area 2","108000","Pataua","280"
"2018","Statistical Area 2","108100","Onerahi Park","340"
"2018","Statistical Area 2","108200","Sherwood Rise","310"
"2018","Statistical Area 2","108300","Onerahi","320"
"2018","Statistical Area 2","108400","Inlet Whangarei Harbour","C"
"2018","Statistical Area 2","108500","Parua Bay","350"
"2018","Statistical Area 2","108600","Bream Bay","280"
"2018","Statistical Area 2","108700","Marsden Bay","410"
"2018","Statistical Area 2","108800","Ruakaka","340"
"2018","Statistical Area 2","108900","Bream Head","340"
