"Year","Area_type","Area_code","Area_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Median_total_personal_income_$"
"2018","Statistical Area 2","125300","Te Atatu Peninsula East","00","No 'Maori' response given","37500"
"2018","Statistical Area 2","125300","Te Atatu Peninsula East","20","Maori","33000"
"2018","Statistical Area 2","125300","Te Atatu Peninsula East","Total","Total","37100"
"2018","Statistical Area 2","125400","Milford West","00","No 'Maori' response given","37800"
"2018","Statistical Area 2","125400","Milford West","20","Maori","40500"
"2018","Statistical Area 2","125400","Milford West","Total","Total","38000"
"2018","Statistical Area 2","125500","Westlake","00","No 'Maori' response given","33200"
"2018","Statistical Area 2","125500","Westlake","20","Maori","44700"
"2018","Statistical Area 2","125500","Westlake","Total","Total","33500"
"2018","Statistical Area 2","125600","Hillcrest North (Auckland)","00","No 'Maori' response given","29800"
"2018","Statistical Area 2","125600","Hillcrest North (Auckland)","20","Maori","37000"
"2018","Statistical Area 2","125600","Hillcrest North (Auckland)","Total","Total","30100"
"2018","Statistical Area 2","125700","Henderson Lincoln South","00","No 'Maori' response given","28500"
"2018","Statistical Area 2","125700","Henderson Lincoln South","20","Maori","27600"
"2018","Statistical Area 2","125700","Henderson Lincoln South","Total","Total","28400"
"2018","Statistical Area 2","125800","Hillcrest West (Auckland)","00","No 'Maori' response given","39100"
"2018","Statistical Area 2","125800","Hillcrest West (Auckland)","20","Maori","38400"
"2018","Statistical Area 2","125800","Hillcrest West (Auckland)","Total","Total","39000"
"2018","Statistical Area 2","125900","Milford Central","00","No 'Maori' response given","45500"
"2018","Statistical Area 2","125900","Milford Central","20","Maori","55200"
"2018","Statistical Area 2","125900","Milford Central","Total","Total","45800"
"2018","Statistical Area 2","126000","Summerland South","00","No 'Maori' response given","35100"
"2018","Statistical Area 2","126000","Summerland South","20","Maori","27100"
"2018","Statistical Area 2","126000","Summerland South","Total","Total","34200"
"2018","Statistical Area 2","126100","Summerland North","00","No 'Maori' response given","35900"
"2018","Statistical Area 2","126100","Summerland North","20","Maori","29300"
"2018","Statistical Area 2","126100","Summerland North","Total","Total","35800"
"2018","Statistical Area 2","126200","Hillcrest East (Auckland)","00","No 'Maori' response given","37400"
"2018","Statistical Area 2","126200","Hillcrest East (Auckland)","20","Maori","41000"
"2018","Statistical Area 2","126200","Hillcrest East (Auckland)","Total","Total","37500"
"2018","Statistical Area 2","126300","Chatswood","00","No 'Maori' response given","36400"
"2018","Statistical Area 2","126300","Chatswood","20","Maori","42800"
"2018","Statistical Area 2","126300","Chatswood","Total","Total","36700"
"2018","Statistical Area 2","126400","Te Atatu South-Edmonton","00","No 'Maori' response given","33600"
"2018","Statistical Area 2","126400","Te Atatu South-Edmonton","20","Maori","30400"
"2018","Statistical Area 2","126400","Te Atatu South-Edmonton","Total","Total","33100"
"2018","Statistical Area 2","126500","Birkenhead North","00","No 'Maori' response given","38400"
"2018","Statistical Area 2","126500","Birkenhead North","20","Maori","36200"
"2018","Statistical Area 2","126500","Birkenhead North","Total","Total","38300"
"2018","Statistical Area 2","126600","Takapuna West","00","No 'Maori' response given","36300"
"2018","Statistical Area 2","126600","Takapuna West","20","Maori","40400"
"2018","Statistical Area 2","126600","Takapuna West","Total","Total","36400"
"2018","Statistical Area 2","126700","Henderson North","00","No 'Maori' response given","28200"
"2018","Statistical Area 2","126700","Henderson North","20","Maori","23300"
"2018","Statistical Area 2","126700","Henderson North","Total","Total","27300"
"2018","Statistical Area 2","126800","Takapuna Central","00","No 'Maori' response given","50400"
"2018","Statistical Area 2","126800","Takapuna Central","20","Maori","41100"
"2018","Statistical Area 2","126800","Takapuna Central","Total","Total","50000"
"2018","Statistical Area 2","126900","Western Heights (Auckland)","00","No 'Maori' response given","36700"
"2018","Statistical Area 2","126900","Western Heights (Auckland)","20","Maori","34100"
"2018","Statistical Area 2","126900","Western Heights (Auckland)","Total","Total","36300"
"2018","Statistical Area 2","127000","Te Atatu South-Central","00","No 'Maori' response given","35300"
"2018","Statistical Area 2","127000","Te Atatu South-Central","20","Maori","32200"
"2018","Statistical Area 2","127000","Te Atatu South-Central","Total","Total","34900"
"2018","Statistical Area 2","127100","Northcote Central (Auckland)","00","No 'Maori' response given","21800"
"2018","Statistical Area 2","127100","Northcote Central (Auckland)","20","Maori","20000"
"2018","Statistical Area 2","127100","Northcote Central (Auckland)","Total","Total","21600"
"2018","Statistical Area 2","127200","Akoranga","00","No 'Maori' response given","22400"
"2018","Statistical Area 2","127200","Akoranga","20","Maori","17600"
"2018","Statistical Area 2","127200","Akoranga","Total","Total","22100"
"2018","Statistical Area 2","127300","Northcote South (Auckland)","00","No 'Maori' response given","39200"
"2018","Statistical Area 2","127300","Northcote South (Auckland)","20","Maori","45000"
"2018","Statistical Area 2","127300","Northcote South (Auckland)","Total","Total","39600"
"2018","Statistical Area 2","127400","Birkenhead South","00","No 'Maori' response given","51700"
"2018","Statistical Area 2","127400","Birkenhead South","20","Maori","50400"
"2018","Statistical Area 2","127400","Birkenhead South","Total","Total","51600"
"2018","Statistical Area 2","127500","Henderson Central","00","No 'Maori' response given","22800"
"2018","Statistical Area 2","127500","Henderson Central","20","Maori","21800"
"2018","Statistical Area 2","127500","Henderson Central","Total","Total","22700"
"2018","Statistical Area 2","127600","Waiatarua","00","No 'Maori' response given","42700"
"2018","Statistical Area 2","127600","Waiatarua","20","Maori","39600"
"2018","Statistical Area 2","127600","Waiatarua","Total","Total","42300"
"2018","Statistical Area 2","127700","Te Atatu South-McLeod North","00","No 'Maori' response given","34300"
"2018","Statistical Area 2","127700","Te Atatu South-McLeod North","20","Maori","30200"
"2018","Statistical Area 2","127700","Te Atatu South-McLeod North","Total","Total","33600"
"2018","Statistical Area 2","127800","Henderson Valley Park","00","No 'Maori' response given","31100"
"2018","Statistical Area 2","127800","Henderson Valley Park","20","Maori","24300"
"2018","Statistical Area 2","127800","Henderson Valley Park","Total","Total","29500"
"2018","Statistical Area 2","127900","Henderson North East","00","No 'Maori' response given","25500"
"2018","Statistical Area 2","127900","Henderson North East","20","Maori","24300"
"2018","Statistical Area 2","127900","Henderson North East","Total","Total","25300"
"2018","Statistical Area 2","128000","Waitakere Ranges South","00","No 'Maori' response given","40700"
"2018","Statistical Area 2","128000","Waitakere Ranges South","20","Maori","30400"
"2018","Statistical Area 2","128000","Waitakere Ranges South","Total","Total","38800"
"2018","Statistical Area 2","128100","Northcote Tuff Crater","00","No 'Maori' response given","39200"
"2018","Statistical Area 2","128100","Northcote Tuff Crater","20","Maori","35300"
"2018","Statistical Area 2","128100","Northcote Tuff Crater","Total","Total","38900"
"2018","Statistical Area 2","128200","Northcote Point (Auckland)","00","No 'Maori' response given","51000"
"2018","Statistical Area 2","128200","Northcote Point (Auckland)","20","Maori","43800"
"2018","Statistical Area 2","128200","Northcote Point (Auckland)","Total","Total","50500"
"2018","Statistical Area 2","128300","McLaren Park","00","No 'Maori' response given","29000"
"2018","Statistical Area 2","128300","McLaren Park","20","Maori","25000"
"2018","Statistical Area 2","128300","McLaren Park","Total","Total","28300"
"2018","Statistical Area 2","128400","Henderson East","00","No 'Maori' response given","28400"
"2018","Statistical Area 2","128400","Henderson East","20","Maori","25900"
"2018","Statistical Area 2","128400","Henderson East","Total","Total","28100"
"2018","Statistical Area 2","128500","Te Atatu South-McLeod South","00","No 'Maori' response given","31600"
"2018","Statistical Area 2","128500","Te Atatu South-McLeod South","20","Maori","32100"
"2018","Statistical Area 2","128500","Te Atatu South-McLeod South","Total","Total","31700"
"2018","Statistical Area 2","128600","Takapuna South","00","No 'Maori' response given","49200"
"2018","Statistical Area 2","128600","Takapuna South","20","Maori","52100"
"2018","Statistical Area 2","128600","Takapuna South","Total","Total","49300"
"2018","Statistical Area 2","128700","Rosebank Peninsula","00","No 'Maori' response given","52900"
"2018","Statistical Area 2","128700","Rosebank Peninsula","20","Maori","C"
"2018","Statistical Area 2","128700","Rosebank Peninsula","Total","Total","53900"
"2018","Statistical Area 2","128800","Hauraki","00","No 'Maori' response given","44200"
"2018","Statistical Area 2","128800","Hauraki","20","Maori","54700"
"2018","Statistical Area 2","128800","Hauraki","Total","Total","44800"
"2018","Statistical Area 2","128900","Glendene North","00","No 'Maori' response given","31500"
"2018","Statistical Area 2","128900","Glendene North","20","Maori","29200"
"2018","Statistical Area 2","128900","Glendene North","Total","Total","31300"
"2018","Statistical Area 2","129000","Sunnyvale West-Parrs Park","00","No 'Maori' response given","29700"
"2018","Statistical Area 2","129000","Sunnyvale West-Parrs Park","20","Maori","25500"
"2018","Statistical Area 2","129000","Sunnyvale West-Parrs Park","Total","Total","29100"
"2018","Statistical Area 2","129100","Sunnyvale East","00","No 'Maori' response given","32500"
"2018","Statistical Area 2","129100","Sunnyvale East","20","Maori","27300"
"2018","Statistical Area 2","129100","Sunnyvale East","Total","Total","31900"
"2018","Statistical Area 2","129200","Point Chevalier West","00","No 'Maori' response given","36100"
"2018","Statistical Area 2","129200","Point Chevalier West","20","Maori","38400"
"2018","Statistical Area 2","129200","Point Chevalier West","Total","Total","36200"
"2018","Statistical Area 2","129300","Belmont (Auckland)","00","No 'Maori' response given","41600"
"2018","Statistical Area 2","129300","Belmont (Auckland)","20","Maori","48200"
"2018","Statistical Area 2","129300","Belmont (Auckland)","Total","Total","42100"
"2018","Statistical Area 2","129400","Bayswater","00","No 'Maori' response given","43000"
"2018","Statistical Area 2","129400","Bayswater","20","Maori","43800"
"2018","Statistical Area 2","129400","Bayswater","Total","Total","43000"
"2018","Statistical Area 2","129500","Glendene South","00","No 'Maori' response given","32500"
"2018","Statistical Area 2","129500","Glendene South","20","Maori","20000"
"2018","Statistical Area 2","129500","Glendene South","Total","Total","30200"
"2018","Statistical Area 2","129600","Glen Eden West","00","No 'Maori' response given","30100"
"2018","Statistical Area 2","129600","Glen Eden West","20","Maori","23000"
"2018","Statistical Area 2","129600","Glen Eden West","Total","Total","29300"
"2018","Statistical Area 2","129700","Herne Bay","00","No 'Maori' response given","63300"
"2018","Statistical Area 2","129700","Herne Bay","20","Maori","50500"
"2018","Statistical Area 2","129700","Herne Bay","Total","Total","62100"
"2018","Statistical Area 2","129800","Westmere North","00","No 'Maori' response given","54600"
"2018","Statistical Area 2","129800","Westmere North","20","Maori","46100"
"2018","Statistical Area 2","129800","Westmere North","Total","Total","53600"
"2018","Statistical Area 2","129900","Point Chevalier East","00","No 'Maori' response given","48600"
"2018","Statistical Area 2","129900","Point Chevalier East","20","Maori","34400"
"2018","Statistical Area 2","129900","Point Chevalier East","Total","Total","47200"
"2018","Statistical Area 2","130000","Oratia","00","No 'Maori' response given","41500"
"2018","Statistical Area 2","130000","Oratia","20","Maori","42900"
"2018","Statistical Area 2","130000","Oratia","Total","Total","41600"
"2018","Statistical Area 2","130100","Glen Eden Rosier","00","No 'Maori' response given","34600"
"2018","Statistical Area 2","130100","Glen Eden Rosier","20","Maori","26300"
"2018","Statistical Area 2","130100","Glen Eden Rosier","Total","Total","33700"
"2018","Statistical Area 2","130200","Saint Marys Bay","00","No 'Maori' response given","58700"
"2018","Statistical Area 2","130200","Saint Marys Bay","20","Maori","49900"
"2018","Statistical Area 2","130200","Saint Marys Bay","Total","Total","58400"
"2018","Statistical Area 2","130300","Westmere South-Western Springs","00","No 'Maori' response given","56300"
"2018","Statistical Area 2","130300","Westmere South-Western Springs","20","Maori","34100"
"2018","Statistical Area 2","130300","Westmere South-Western Springs","Total","Total","54100"
"2018","Statistical Area 2","130400","Ponsonby West","00","No 'Maori' response given","56500"
"2018","Statistical Area 2","130400","Ponsonby West","20","Maori","42700"
"2018","Statistical Area 2","130400","Ponsonby West","Total","Total","55300"
"2018","Statistical Area 2","130500","Kelston North","00","No 'Maori' response given","29900"
"2018","Statistical Area 2","130500","Kelston North","20","Maori","24000"
"2018","Statistical Area 2","130500","Kelston North","Total","Total","29000"
"2018","Statistical Area 2","130600","Avondale Rosebank","00","No 'Maori' response given","29700"
"2018","Statistical Area 2","130600","Avondale Rosebank","20","Maori","25700"
"2018","Statistical Area 2","130600","Avondale Rosebank","Total","Total","29000"
"2018","Statistical Area 2","130700","Narrow Neck","00","No 'Maori' response given","43400"
"2018","Statistical Area 2","130700","Narrow Neck","20","Maori","41000"
"2018","Statistical Area 2","130700","Narrow Neck","Total","Total","43300"
"2018","Statistical Area 2","130800","Glen Eden North","00","No 'Maori' response given","32700"
"2018","Statistical Area 2","130800","Glen Eden North","20","Maori","21300"
"2018","Statistical Area 2","130800","Glen Eden North","Total","Total","31500"
"2018","Statistical Area 2","130900","Glen Eden Woodglen","00","No 'Maori' response given","37400"
"2018","Statistical Area 2","130900","Glen Eden Woodglen","20","Maori","30600"
"2018","Statistical Area 2","130900","Glen Eden Woodglen","Total","Total","36600"
"2018","Statistical Area 2","131000","Kelston South","00","No 'Maori' response given","27800"
"2018","Statistical Area 2","131000","Kelston South","20","Maori","18700"
"2018","Statistical Area 2","131000","Kelston South","Total","Total","25700"
"2018","Statistical Area 2","131100","Waterview","00","No 'Maori' response given","36100"
"2018","Statistical Area 2","131100","Waterview","20","Maori","24600"
"2018","Statistical Area 2","131100","Waterview","Total","Total","35300"
"2018","Statistical Area 2","131200","Ponsonby East","00","No 'Maori' response given","60600"
"2018","Statistical Area 2","131200","Ponsonby East","20","Maori","50000"
"2018","Statistical Area 2","131200","Ponsonby East","Total","Total","59500"
"2018","Statistical Area 2","131300","Wynyard-Viaduct","00","No 'Maori' response given","73300"
"2018","Statistical Area 2","131300","Wynyard-Viaduct","20","Maori","95300"
"2018","Statistical Area 2","131300","Wynyard-Viaduct","Total","Total","74000"
"2018","Statistical Area 2","131400","Stanley Point","00","No 'Maori' response given","49200"
"2018","Statistical Area 2","131400","Stanley Point","20","Maori","40100"
"2018","Statistical Area 2","131400","Stanley Point","Total","Total","47800"
"2018","Statistical Area 2","131500","Glen Eden Central","00","No 'Maori' response given","35800"
"2018","Statistical Area 2","131500","Glen Eden Central","20","Maori","24100"
"2018","Statistical Area 2","131500","Glen Eden Central","Total","Total","34900"
"2018","Statistical Area 2","131600","Grey Lynn North","00","No 'Maori' response given","54400"
"2018","Statistical Area 2","131600","Grey Lynn North","20","Maori","45000"
"2018","Statistical Area 2","131600","Grey Lynn North","Total","Total","53500"
"2018","Statistical Area 2","131700","Avondale West (Auckland)","00","No 'Maori' response given","26800"
"2018","Statistical Area 2","131700","Avondale West (Auckland)","20","Maori","21700"
"2018","Statistical Area 2","131700","Avondale West (Auckland)","Total","Total","25900"
"2018","Statistical Area 2","131800","Freemans Bay","00","No 'Maori' response given","56000"
"2018","Statistical Area 2","131800","Freemans Bay","20","Maori","38000"
"2018","Statistical Area 2","131800","Freemans Bay","Total","Total","54600"
"2018","Statistical Area 2","131900","Mount Albert West","00","No 'Maori' response given","30900"
"2018","Statistical Area 2","131900","Mount Albert West","20","Maori","21300"
"2018","Statistical Area 2","131900","Mount Albert West","Total","Total","30100"
"2018","Statistical Area 2","132000","Avondale North (Auckland)","00","No 'Maori' response given","34700"
"2018","Statistical Area 2","132000","Avondale North (Auckland)","20","Maori","33800"
"2018","Statistical Area 2","132000","Avondale North (Auckland)","Total","Total","34700"
"2018","Statistical Area 2","132100","Grey Lynn West","00","No 'Maori' response given","43500"
"2018","Statistical Area 2","132100","Grey Lynn West","20","Maori","33100"
"2018","Statistical Area 2","132100","Grey Lynn West","Total","Total","42300"
"2018","Statistical Area 2","132200","Mount Albert North","00","No 'Maori' response given","40000"
"2018","Statistical Area 2","132200","Mount Albert North","20","Maori","34400"
"2018","Statistical Area 2","132200","Mount Albert North","Total","Total","39600"
"2018","Statistical Area 2","132300","New Lynn North","00","No 'Maori' response given","28100"
"2018","Statistical Area 2","132300","New Lynn North","20","Maori","27700"
"2018","Statistical Area 2","132300","New Lynn North","Total","Total","28000"
"2018","Statistical Area 2","132400","Victoria Park","00","No 'Maori' response given","37700"
"2018","Statistical Area 2","132400","Victoria Park","20","Maori","42200"
"2018","Statistical Area 2","132400","Victoria Park","Total","Total","37800"
"2018","Statistical Area 2","132500","Konini","00","No 'Maori' response given","43300"
"2018","Statistical Area 2","132500","Konini","20","Maori","30600"
"2018","Statistical Area 2","132500","Konini","Total","Total","42100"
"2018","Statistical Area 2","132600","New Lynn North West","00","No 'Maori' response given","29900"
"2018","Statistical Area 2","132600","New Lynn North West","20","Maori","29700"
"2018","Statistical Area 2","132600","New Lynn North West","Total","Total","29800"
"2018","Statistical Area 2","132700","Hobson Ridge North","00","No 'Maori' response given","32900"
"2018","Statistical Area 2","132700","Hobson Ridge North","20","Maori","41000"
"2018","Statistical Area 2","132700","Hobson Ridge North","Total","Total","33000"
"2018","Statistical Area 2","132800","Grey Lynn Central","00","No 'Maori' response given","54900"
"2018","Statistical Area 2","132800","Grey Lynn Central","20","Maori","46400"
"2018","Statistical Area 2","132800","Grey Lynn Central","Total","Total","54300"
"2018","Statistical Area 2","132900","Fruitvale","00","No 'Maori' response given","33800"
"2018","Statistical Area 2","132900","Fruitvale","20","Maori","25800"
"2018","Statistical Area 2","132900","Fruitvale","Total","Total","33100"
"2018","Statistical Area 2","133000","Devonport","00","No 'Maori' response given","46200"
"2018","Statistical Area 2","133000","Devonport","20","Maori","39000"
"2018","Statistical Area 2","133000","Devonport","Total","Total","45800"
"2018","Statistical Area 2","133100","Avondale Central (Auckland)","00","No 'Maori' response given","22600"
"2018","Statistical Area 2","133100","Avondale Central (Auckland)","20","Maori","22000"
"2018","Statistical Area 2","133100","Avondale Central (Auckland)","Total","Total","22600"
"2018","Statistical Area 2","133200","Queen Street","00","No 'Maori' response given","23200"
"2018","Statistical Area 2","133200","Queen Street","20","Maori","34300"
"2018","Statistical Area 2","133200","Queen Street","Total","Total","23700"
"2018","Statistical Area 2","133300","Quay Street-Customs Street","00","No 'Maori' response given","37200"
"2018","Statistical Area 2","133300","Quay Street-Customs Street","20","Maori","48000"
"2018","Statistical Area 2","133300","Quay Street-Customs Street","Total","Total","37500"
"2018","Statistical Area 2","133400","Hobson Ridge Central","00","No 'Maori' response given","19600"
"2018","Statistical Area 2","133400","Hobson Ridge Central","20","Maori","17800"
"2018","Statistical Area 2","133400","Hobson Ridge Central","Total","Total","19500"
"2018","Statistical Area 2","133500","Grey Lynn East","00","No 'Maori' response given","54200"
"2018","Statistical Area 2","133500","Grey Lynn East","20","Maori","50200"
"2018","Statistical Area 2","133500","Grey Lynn East","Total","Total","53900"
"2018","Statistical Area 2","133600","Morningside (Auckland)","00","No 'Maori' response given","46300"
"2018","Statistical Area 2","133600","Morningside (Auckland)","20","Maori","42900"
"2018","Statistical Area 2","133600","Morningside (Auckland)","Total","Total","46000"
"2018","Statistical Area 2","133700","Shortland Street","00","No 'Maori' response given","43300"
"2018","Statistical Area 2","133700","Shortland Street","20","Maori","51800"
"2018","Statistical Area 2","133700","Shortland Street","Total","Total","43600"
"2018","Statistical Area 2","133800","Hobson Ridge South","00","No 'Maori' response given","20700"
"2018","Statistical Area 2","133800","Hobson Ridge South","20","Maori","19800"
"2018","Statistical Area 2","133800","Hobson Ridge South","Total","Total","20700"
"2018","Statistical Area 2","133900","New Lynn Central","00","No 'Maori' response given","33500"
"2018","Statistical Area 2","133900","New Lynn Central","20","Maori","24900"
"2018","Statistical Area 2","133900","New Lynn Central","Total","Total","32200"
"2018","Statistical Area 2","134000","Cheltenham","00","No 'Maori' response given","47200"
"2018","Statistical Area 2","134000","Cheltenham","20","Maori","42000"
"2018","Statistical Area 2","134000","Cheltenham","Total","Total","46700"
"2018","Statistical Area 2","134100","Queen Street South West","00","No 'Maori' response given","26600"
"2018","Statistical Area 2","134100","Queen Street South West","20","Maori","16600"
"2018","Statistical Area 2","134100","Queen Street South West","Total","Total","24900"
"2018","Statistical Area 2","134200","Mount Albert Central","00","No 'Maori' response given","39500"
"2018","Statistical Area 2","134200","Mount Albert Central","20","Maori","24700"
"2018","Statistical Area 2","134200","Mount Albert Central","Total","Total","37800"
"2018","Statistical Area 2","134300","Karangahape","00","No 'Maori' response given","44000"
"2018","Statistical Area 2","134300","Karangahape","20","Maori","40600"
"2018","Statistical Area 2","134300","Karangahape","Total","Total","43800"
"2018","Statistical Area 2","134400","Kingsland","00","No 'Maori' response given","50600"
"2018","Statistical Area 2","134400","Kingsland","20","Maori","38700"
"2018","Statistical Area 2","134400","Kingsland","Total","Total","49700"
"2018","Statistical Area 2","134500","Anzac Avenue","00","No 'Maori' response given","37500"
"2018","Statistical Area 2","134500","Anzac Avenue","20","Maori","30800"
"2018","Statistical Area 2","134500","Anzac Avenue","Total","Total","37200"
"2018","Statistical Area 2","134600","Waima-Woodlands Park","00","No 'Maori' response given","51300"
"2018","Statistical Area 2","134600","Waima-Woodlands Park","20","Maori","35700"
"2018","Statistical Area 2","134600","Waima-Woodlands Park","Total","Total","50300"
"2018","Statistical Area 2","134700","Kaurilands","00","No 'Maori' response given","43700"
"2018","Statistical Area 2","134700","Kaurilands","20","Maori","40200"
"2018","Statistical Area 2","134700","Kaurilands","Total","Total","43100"
"2018","Statistical Area 2","134800","Auckland-University","00","No 'Maori' response given","33200"
"2018","Statistical Area 2","134800","Auckland-University","20","Maori","14900"
"2018","Statistical Area 2","134800","Auckland-University","Total","Total","30200"
"2018","Statistical Area 2","134900","New Lynn Seabrook","00","No 'Maori' response given","27600"
"2018","Statistical Area 2","134900","New Lynn Seabrook","20","Maori","29300"
"2018","Statistical Area 2","134900","New Lynn Seabrook","Total","Total","27800"
"2018","Statistical Area 2","135000","Avondale South (Auckland)","00","No 'Maori' response given","32500"
"2018","Statistical Area 2","135000","Avondale South (Auckland)","20","Maori","31500"
"2018","Statistical Area 2","135000","Avondale South (Auckland)","Total","Total","32400"
"2018","Statistical Area 2","135100","Symonds Street North West","00","No 'Maori' response given","12500"
"2018","Statistical Area 2","135100","Symonds Street North West","20","Maori","10000"
"2018","Statistical Area 2","135100","Symonds Street North West","Total","Total","12500"
"2018","Statistical Area 2","135200","Mount Albert South","00","No 'Maori' response given","36400"
"2018","Statistical Area 2","135200","Mount Albert South","20","Maori","27700"
"2018","Statistical Area 2","135200","Mount Albert South","Total","Total","35700"
"2018","Statistical Area 2","135300","Symonds Street West","00","No 'Maori' response given","15000"
"2018","Statistical Area 2","135300","Symonds Street West","20","Maori","17600"
"2018","Statistical Area 2","135300","Symonds Street West","Total","Total","15100"
"2018","Statistical Area 2","135400","West Lynn","00","No 'Maori' response given","41600"
"2018","Statistical Area 2","135400","West Lynn","20","Maori","34200"
"2018","Statistical Area 2","135400","West Lynn","Total","Total","40900"
"2018","Statistical Area 2","135500","Owairaka West","00","No 'Maori' response given","28500"
"2018","Statistical Area 2","135500","Owairaka West","20","Maori","21600"
"2018","Statistical Area 2","135500","Owairaka West","Total","Total","27700"
"2018","Statistical Area 2","135600","New Lynn Central South","00","No 'Maori' response given","25800"
"2018","Statistical Area 2","135600","New Lynn Central South","20","Maori","23600"
"2018","Statistical Area 2","135600","New Lynn Central South","Total","Total","25600"
"2018","Statistical Area 2","135700","The Strand","00","No 'Maori' response given","28400"
"2018","Statistical Area 2","135700","The Strand","20","Maori","38100"
"2018","Statistical Area 2","135700","The Strand","Total","Total","28500"
"2018","Statistical Area 2","135800","St Lukes","00","No 'Maori' response given","33900"
"2018","Statistical Area 2","135800","St Lukes","20","Maori","32300"
"2018","Statistical Area 2","135800","St Lukes","Total","Total","33900"
"2018","Statistical Area 2","135900","Symonds Street East","00","No 'Maori' response given","9300"
"2018","Statistical Area 2","135900","Symonds Street East","20","Maori","7800"
"2018","Statistical Area 2","135900","Symonds Street East","Total","Total","9200"
"2018","Statistical Area 2","136000","Eden Terrace","00","No 'Maori' response given","45500"
"2018","Statistical Area 2","136000","Eden Terrace","20","Maori","48500"
"2018","Statistical Area 2","136000","Eden Terrace","Total","Total","45700"
"2018","Statistical Area 2","136100","Grafton","00","No 'Maori' response given","33700"
"2018","Statistical Area 2","136100","Grafton","20","Maori","28300"
"2018","Statistical Area 2","136100","Grafton","Total","Total","33200"
"2018","Statistical Area 2","136200","Eden Park","00","No 'Maori' response given","52200"
"2018","Statistical Area 2","136200","Eden Park","20","Maori","35800"
"2018","Statistical Area 2","136200","Eden Park","Total","Total","51200"
"2018","Statistical Area 2","136300","Sandringham North","00","No 'Maori' response given","43400"
"2018","Statistical Area 2","136300","Sandringham North","20","Maori","38100"
"2018","Statistical Area 2","136300","Sandringham North","Total","Total","43000"
"2018","Statistical Area 2","136400","Parnell West","00","No 'Maori' response given","46300"
"2018","Statistical Area 2","136400","Parnell West","20","Maori","40800"
"2018","Statistical Area 2","136400","Parnell West","Total","Total","46000"
"2018","Statistical Area 2","136500","New Lynn South","00","No 'Maori' response given","33200"
"2018","Statistical Area 2","136500","New Lynn South","20","Maori","30200"
"2018","Statistical Area 2","136500","New Lynn South","Total","Total","33000"
"2018","Statistical Area 2","136600","New Windsor North","00","No 'Maori' response given","27600"
"2018","Statistical Area 2","136600","New Windsor North","20","Maori","24000"
"2018","Statistical Area 2","136600","New Windsor North","Total","Total","27300"
"2018","Statistical Area 2","136700","Titirangi South","00","No 'Maori' response given","46600"
"2018","Statistical Area 2","136700","Titirangi South","20","Maori","45300"
"2018","Statistical Area 2","136700","Titirangi South","Total","Total","46400"
"2018","Statistical Area 2","136800","Owairaka East","00","No 'Maori' response given","34100"
"2018","Statistical Area 2","136800","Owairaka East","20","Maori","30200"
"2018","Statistical Area 2","136800","Owairaka East","Total","Total","33500"
"2018","Statistical Area 2","136900","Eden Valley","00","No 'Maori' response given","41500"
"2018","Statistical Area 2","136900","Eden Valley","20","Maori","20700"
"2018","Statistical Area 2","136900","Eden Valley","Total","Total","40300"
"2018","Statistical Area 2","137000","Sandringham Central","00","No 'Maori' response given","32500"
"2018","Statistical Area 2","137000","Sandringham Central","20","Maori","26200"
"2018","Statistical Area 2","137000","Sandringham Central","Total","Total","32100"
"2018","Statistical Area 2","137100","Glenavon","00","No 'Maori' response given","23600"
"2018","Statistical Area 2","137100","Glenavon","20","Maori","22600"
"2018","Statistical Area 2","137100","Glenavon","Total","Total","23500"
"2018","Statistical Area 2","137200","Blockhouse Bay North","00","No 'Maori' response given","28100"
"2018","Statistical Area 2","137200","Blockhouse Bay North","20","Maori","19400"
"2018","Statistical Area 2","137200","Blockhouse Bay North","Total","Total","27400"
"2018","Statistical Area 2","137300","Green Bay North","00","No 'Maori' response given","31700"
"2018","Statistical Area 2","137300","Green Bay North","20","Maori","33700"
"2018","Statistical Area 2","137300","Green Bay North","Total","Total","32000"
"2018","Statistical Area 2","137400","Parnell East","00","No 'Maori' response given","59400"
"2018","Statistical Area 2","137400","Parnell East","20","Maori","44800"
"2018","Statistical Area 2","137400","Parnell East","Total","Total","58800"
"2018","Statistical Area 2","137500","Laingholm","00","No 'Maori' response given","47900"
"2018","Statistical Area 2","137500","Laingholm","20","Maori","38700"
"2018","Statistical Area 2","137500","Laingholm","Total","Total","47100"
"2018","Statistical Area 2","137600","Sandringham West","00","No 'Maori' response given","36000"
"2018","Statistical Area 2","137600","Sandringham West","20","Maori","47400"
"2018","Statistical Area 2","137600","Sandringham West","Total","Total","36600"
"2018","Statistical Area 2","137700","Mount Eden North East","00","No 'Maori' response given","26400"
"2018","Statistical Area 2","137700","Mount Eden North East","20","Maori","7400"
"2018","Statistical Area 2","137700","Mount Eden North East","Total","Total","14400"
"2018","Statistical Area 2","137800","Mount Eden North","00","No 'Maori' response given","39500"
"2018","Statistical Area 2","137800","Mount Eden North","20","Maori","35000"
"2018","Statistical Area 2","137800","Mount Eden North","Total","Total","39300"
"2018","Statistical Area 2","137900","Wesley West","00","No 'Maori' response given","20700"
"2018","Statistical Area 2","137900","Wesley West","20","Maori","17900"
"2018","Statistical Area 2","137900","Wesley West","Total","Total","20400"
