"Year","Area_type","Area_code","Area_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Median_total_personal_income_$"
"2018","Statistical Area 2","101000","Oruru-Parapara","20","Maori","18900"
"2018","Statistical Area 2","101000","Oruru-Parapara","Total","Total","20100"
"2018","Statistical Area 2","101100","Taumarumaru","00","No 'Maori' response given","23400"
"2018","Statistical Area 2","101100","Taumarumaru","20","Maori","20400"
"2018","Statistical Area 2","101100","Taumarumaru","Total","Total","22800"
"2018","Statistical Area 2","101200","Herekino-Takahue","00","No 'Maori' response given","23000"
"2018","Statistical Area 2","101200","Herekino-Takahue","20","Maori","18600"
"2018","Statistical Area 2","101200","Herekino-Takahue","Total","Total","20600"
"2018","Statistical Area 2","101300","Peria","00","No 'Maori' response given","20200"
"2018","Statistical Area 2","101300","Peria","20","Maori","18800"
"2018","Statistical Area 2","101300","Peria","Total","Total","19600"
"2018","Statistical Area 2","101400","Taemaro-Oruaiti","00","No 'Maori' response given","20700"
"2018","Statistical Area 2","101400","Taemaro-Oruaiti","20","Maori","18900"
"2018","Statistical Area 2","101400","Taemaro-Oruaiti","Total","Total","19900"
"2018","Statistical Area 2","101500","Whakapaku","00","No 'Maori' response given","23100"
"2018","Statistical Area 2","101500","Whakapaku","20","Maori","20800"
"2018","Statistical Area 2","101500","Whakapaku","Total","Total","22300"
"2018","Statistical Area 2","101600","Hokianga North","00","No 'Maori' response given","18900"
"2018","Statistical Area 2","101600","Hokianga North","20","Maori","17600"
"2018","Statistical Area 2","101600","Hokianga North","Total","Total","17900"
"2018","Statistical Area 2","101700","Kohukohu-Broadwood","00","No 'Maori' response given","18900"
"2018","Statistical Area 2","101700","Kohukohu-Broadwood","20","Maori","18500"
"2018","Statistical Area 2","101700","Kohukohu-Broadwood","Total","Total","18700"
"2018","Statistical Area 2","101800","Whakarara","00","No 'Maori' response given","23300"
"2018","Statistical Area 2","101800","Whakarara","20","Maori","20900"
"2018","Statistical Area 2","101800","Whakarara","Total","Total","21900"
"2018","Statistical Area 2","101900","Kaeo","00","No 'Maori' response given","22800"
"2018","Statistical Area 2","101900","Kaeo","20","Maori","19000"
"2018","Statistical Area 2","101900","Kaeo","Total","Total","21400"
"2018","Statistical Area 2","102000","Omahuta Forest-Horeke","00","No 'Maori' response given","22300"
"2018","Statistical Area 2","102000","Omahuta Forest-Horeke","20","Maori","17200"
"2018","Statistical Area 2","102000","Omahuta Forest-Horeke","Total","Total","18600"
"2018","Statistical Area 2","102100","Hokianga South","00","No 'Maori' response given","19500"
"2018","Statistical Area 2","102100","Hokianga South","20","Maori","18000"
"2018","Statistical Area 2","102100","Hokianga South","Total","Total","18700"
"2018","Statistical Area 2","102200","Lake Manuwai-Kapiro","00","No 'Maori' response given","30100"
"2018","Statistical Area 2","102200","Lake Manuwai-Kapiro","20","Maori","31000"
"2018","Statistical Area 2","102200","Lake Manuwai-Kapiro","Total","Total","30300"
"2018","Statistical Area 2","102300","Okaihau","00","No 'Maori' response given","31200"
"2018","Statistical Area 2","102300","Okaihau","20","Maori","21500"
"2018","Statistical Area 2","102300","Okaihau","Total","Total","27300"
"2018","Statistical Area 2","102400","Rangitane-Purerua","00","No 'Maori' response given","34900"
"2018","Statistical Area 2","102400","Rangitane-Purerua","20","Maori","20200"
"2018","Statistical Area 2","102400","Rangitane-Purerua","Total","Total","29200"
"2018","Statistical Area 2","102500","Waipapa","00","No 'Maori' response given","32800"
"2018","Statistical Area 2","102500","Waipapa","20","Maori","27100"
"2018","Statistical Area 2","102500","Waipapa","Total","Total","31600"
"2018","Statistical Area 2","102600","Puketotara","00","No 'Maori' response given","32600"
"2018","Statistical Area 2","102600","Puketotara","20","Maori","30900"
"2018","Statistical Area 2","102600","Puketotara","Total","Total","32200"
"2018","Statistical Area 2","102700","Waima Forest","00","No 'Maori' response given","22900"
"2018","Statistical Area 2","102700","Waima Forest","20","Maori","16400"
