"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2013","Statistical Area 2","100100","North Cape","150"
"2013","Statistical Area 2","100200","Rangaunu Harbour","180"
"2013","Statistical Area 2","100300","Inlets Far North District","C"
"2013","Statistical Area 2","100400","Karikari Peninsula","200"
"2013","Statistical Area 2","100500","Tangonge","180"
"2013","Statistical Area 2","100600","Ahipara","220"
"2013","Statistical Area 2","100700","Kaitaia East","200"
"2013","Statistical Area 2","100800","Kaitaia West","200"
"2013","Statistical Area 2","100900","Rangitihi","200"
"2013","Statistical Area 2","101000","Oruru-Parapara","200"
"2013","Statistical Area 2","101100","Taumarumaru","220"
"2013","Statistical Area 2","101200","Herekino-Takahue","150"
"2013","Statistical Area 2","101300","Peria","190"
"2013","Statistical Area 2","101400","Taemaro-Oruaiti","200"
"2013","Statistical Area 2","101500","Whakapaku","180"
"2013","Statistical Area 2","101600","Hokianga North","100"
"2013","Statistical Area 2","101700","Kohukohu-Broadwood","120"
"2013","Statistical Area 2","101800","Whakarara","160"
"2013","Statistical Area 2","101900","Kaeo","180"
"2013","Statistical Area 2","102000","Omahuta Forest-Horeke","150"
"2013","Statistical Area 2","102100","Hokianga South","170"
"2013","Statistical Area 2","102200","Lake Manuwai-Kapiro","280"
"2013","Statistical Area 2","102300","Okaihau","200"
"2013","Statistical Area 2","102400","Rangitane-Purerua","260"
"2013","Statistical Area 2","102500","Waipapa","290"
"2013","Statistical Area 2","102600","Puketotara","280"
"2013","Statistical Area 2","102700","Waima Forest","150"
"2013","Statistical Area 2","102800","Riverview","310"
"2013","Statistical Area 2","102900","Waipoua Forest","160"
"2013","Statistical Area 2","103000","Kerikeri Central","280"
"2013","Statistical Area 2","103100","Kerikeri South","300"
"2013","Statistical Area 2","103200","Ohaeawai-Waimate North","200"
"2013","Statistical Area 2","103300","Puketona-Waitangi","230"
"2013","Statistical Area 2","103400","Ngapuhi","180"
"2013","Statistical Area 2","103500","Kaikohe","180"
"2013","Statistical Area 2","103600","Pakaraka","250"
"2013","Statistical Area 2","103700","Haruru","250"
"2013","Statistical Area 2","103800","Russell","220"
"2013","Statistical Area 2","103900","Paihia","250"
"2013","Statistical Area 2","104000","Mataraua Forest","150"
"2013","Statistical Area 2","104100","Matawaia-Taumarere","150"
"2013","Statistical Area 2","104200","Russell Peninsula","220"
"2013","Statistical Area 2","104300","Opua (Far North District)","250"
"2013","Statistical Area 2","104400","Russell Forest-Rawhiti","130"
